wall_time,elapsed_s,frame,count,in_count,out_count,door_a_in,door_a_out,door_b_in,door_b_out,occupancy_pct,density
11:12:47,13.7,140,10,1,0,0,0,0,0,17,LOW
11:12:48,13.95,142,10,1,0,0,0,0,0,17,LOW
11:12:48,14.19,144,10,1,0,0,0,0,0,17,LOW
11:12:48,14.44,146,10,1,0,0,0,0,0,17,LOW
11:12:49,14.76,148,11,2,0,0,0,0,0,18,LOW
11:12:49,15.02,150,11,2,0,0,0,0,0,18,LOW
11:12:49,15.31,152,11,2,0,0,0,0,0,18,LOW
11:12:49,15.56,154,11,2,0,0,0,0,0,18,LOW
11:12:50,15.85,156,11,2,0,0,0,0,0,18,LOW
11:12:50,16.15,158,11,2,0,0,0,0,0,18,LOW
11:12:50,16.42,160,11,2,0,0,0,0,0,18,LOW
11:12:50,16.65,162,11,2,0,0,0,0,0,18,LOW
11:12:51,16.86,164,11,2,0,0,0,0,0,18,LOW
11:12:51,17.06,166,11,2,0,0,0,0,0,18,LOW
11:12:51,17.26,168,11,2,0,0,0,0,0,18,LOW
11:12:51,17.52,170,11,2,0,0,0,0,0,18,LOW
11:12:52,17.96,172,11,2,0,0,0,0,0,18,LOW
11:12:52,18.43,174,11,2,0,0,0,0,0,18,LOW
11:12:53,18.72,176,11,2,0,0,0,0,0,18,LOW
